,Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,x-mid,near,Regulasi Waktu,Deteksi,Terkirim,Mencari,Keterangan
165,2024-12-18 13:00:58,0.0,1.3090979782270606,1.8537635497809115,444,341,0.3331615924835205,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
166,2024-12-18 13:00:58,0.0,1.690261044176707,3.000340609984602,215,341,0.2737288475036621,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
167,2024-12-18 13:00:59,0.0,1.6868737474949898,8.443949179911762,228,341,0.2535221576690674,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
168,2024-12-18 13:00:59,0.0,1.7536458333333331,10.96497282067093,225,341,0.3323323726654053,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
169,2024-12-18 13:00:59,0.0,1.4266949152542372,1.5124585180262802,456,341,0.3355007171630859,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
170,2024-12-18 13:01:00,0.0,1.2734493192133132,4.181437084906157,173,341,0.311305284500122,b'A\n',b'B\n',Dalam frame,Kursi roda belok Kiri
172,2024-12-18 13:01:01,0.0,1.61875,17.08047854174535,170,341,0.4180455207824707,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
173,2024-12-18 13:01:02,0.0,1.5882075471698114,1.550746782101705,222,341,0.2599706649780273,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
175,2024-12-18 13:01:04,0.0,1.3172926447574336,16.364093978282057,483,341,0.2826409339904785,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
176,2024-12-18 13:01:05,0.0,1.325590551181102,1.374351915944357,534,682,0.2676982879638672,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
180,2024-12-18 13:01:07,0.0,1.1872355430183357,1.17419396110148,513,682,0.2501182556152344,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
181,2024-12-18 13:01:08,0.0,1.329778830963665,1.2934649317184377,499,341,0.3495609760284424,b'B\n',b'B\n',Dalam frame,Kursi roda Maju
182,2024-12-18 13:01:08,0.0,1.61875,2.351941533017615,211,341,0.4923222064971924,b'A\n',b'C\n',Dalam frame,Kursi roda belok Kiri
183,2024-12-18 13:01:09,0.0,1.7039473684210529,4.747563664517223,202,341,0.3286516666412353,b'A\n',b'A\n',Dalam frame,Kursi roda belok Kiri
184,2024-12-18 13:01:11,0.0,1.5304545454545453,14.836073298559771,517,682,2.777333974838257,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
186,2024-12-18 13:01:13,0.0,1.84594298245614,1.5848108274708348,850,682,1.1224050521850586,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
187,2024-12-18 13:01:13,0.0,1.594223484848485,1.0293120521554868,832,682,0.2935562133789062,b'E\n',b'E\n',Dalam frame,Kursi roda belok Kanan
188,2024-12-18 13:01:15,0.0,1.364262560777958,0.9899283844585474,849,682,1.5987162590026855,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
192,2024-12-18 13:01:17,0.0,1.1193484042553192,1.0840569867756498,540,682,0.2968912124633789,b'B\n',b'C\n',Dalam frame,Kursi roda Maju
193,2024-12-18 13:01:17,0.0,1.1238317757009346,1.0722630256748562,862,682,0.3835113048553467,b'E\n',b'B\n',Dalam frame,Kursi roda belok Kanan
194,2024-12-18 13:01:18,0.0,1.1253342245989304,1.0493555201924434,845,682,0.3058102130889892,b'E\n',b'C\n',Dalam frame,Kursi roda belok Kanan
197,2024-12-18 13:01:19,0.0,1.0988903394255871,0.7700066052653289,856,682,0.2718970775604248,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
198,2024-12-18 13:01:19,0.0,1.1452380952380952,0.5782292558967105,856,682,0.2509012222290039,b'C\n',b'C\n',Dalam frame,Menunggu jarak aman
